machineID,latest_risk_score,risk_tier,latest_calibrated_prob,predicted_component,component_confidence,avg_risk_score,max_risk_score,avg_calibrated_prob,max_calibrated_prob,failure_rate,n_hours,decision,decision_reason,recommended_action
2,0,LOW,0.0002761376745607962,comp2,0.28983396,0.7923752996233306,94,0.00822184155703543,0.9442068992385391,0.008218239926948978,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
3,0,LOW,0.00027616671931461124,comp2,0.31455123,1.2459764867024312,94,0.012749343741649084,0.943927614721867,0.013697066544914965,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
16,0,LOW,0.0002768649637975404,comp4,0.94699025,3.012213217669216,94,0.030470440967696917,0.9442259695930042,0.029791119735190046,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch vibration analyst. Inspect dampeners and drive belt.
22,0,LOW,0.00027617442983375346,comp1,0.34648347,3.4360232850131265,94,0.03474196411947016,0.9441681948458095,0.035269946353156036,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
23,0,LOW,0.0005971996307463564,comp3,0.8612342,3.176007305102157,94,0.03212497170074377,0.9439986029108356,0.03287295970779591,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch electrician. Check voltage regulators and control circuits.
25,0,LOW,0.00027613024887125995,comp4,0.30001613,1.8089259216984364,94,0.018424780077185798,0.9441782945949516,0.016436479853897956,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch vibration analyst. Inspect dampeners and drive belt.
31,0,LOW,0.00027676800348763454,comp3,0.86824715,1.589088003652551,94,0.01622113555440341,0.9439100420986835,0.016436479853897956,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch electrician. Check voltage regulators and control circuits.
39,0,LOW,0.00027607134733495715,comp2,0.3387815,1.0919986302933455,94,0.011230603654287245,0.9440278655113861,0.010957653235931971,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
53,0,LOW,0.00027615546501107575,comp2,0.31641543,1.7583609177034585,94,0.01791086043933943,0.9440350968562872,0.016436479853897956,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
54,0,LOW,0.00027612171723579923,comp2,0.31470197,1.3273598904234676,94,0.013566071169021858,0.9435198364671338,0.013697066544914965,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
62,0,LOW,0.0002761967814579124,comp1,0.30650222,1.851615112430088,94,0.01883870176575924,0.9439321600150189,0.01917589316288095,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
65,0,LOW,0.0002761919764359105,comp4,0.3054792,1.3398013925350987,94,0.013701530935341603,0.9440360737437045,0.013697066544914965,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch vibration analyst. Inspect dampeners and drive belt.
73,0,LOW,0.0002762220968440623,comp4,0.3002084,2.863714187878096,94,0.028931148680307543,0.9439892391663935,0.03013354639881292,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch vibration analyst. Inspect dampeners and drive belt.
76,0,LOW,0.0002760851422039262,comp1,0.43169636,2.4980025111288664,94,0.025296925634958632,0.9439989599603426,0.024654719780846934,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
85,0,LOW,0.00027778551918826916,comp1,0.9964509,3.1582011185937677,94,0.03193616463846497,0.9439117706231072,0.03013354639881292,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
89,0,LOW,0.0002761940528579161,comp1,0.2738127,1.8752425522200662,94,0.019092690165012177,0.9439761835805024,0.01917589316288095,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
90,0,LOW,0.0002762565182241241,comp2,0.3241587,3.0978198835749344,94,0.03129718880379447,0.9439266383779019,0.03013354639881292,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
92,0,LOW,0.00027618172528061027,comp1,0.29354262,2.1522657230909714,94,0.021853009356186268,0.9441019774074034,0.021915306471863943,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
94,0,LOW,0.00028451385610211885,comp2,0.2987124,2.523113799794544,94,0.025558719922496236,0.9440410744217334,0.027051706426207054,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch mechanical engineer. Inspect rotary bearing and lubrication.
95,0,LOW,0.0002762348852398787,comp1,0.29459053,2.4240383517863258,94,0.024559219579451532,0.9438554341572754,0.024654719780846934,8761,DISPATCH,Peak risk 94.4% ≥ optimal threshold 68.0%.,Dispatch hydraulic specialist. Inspect pressure seals and pump.
